index,area,city
1,A Narayanapuram ,1
2,Akuledu ,1
3,Alamuru ,1
4,Allapuram ,1
5,Aluru ,1
6,Amidyaya ,1
7,Ammaladinne ,1
8,Anantapur Collectorate ,1
9,Anantapur Engg College ,1
10,Anantapur H.O,1
11,Ankampalli ,1
12,Anumpalli ,1
13,Appecharla ,1
14,Appilepalli ,1
15,Arakatavemula ,1
16,Araveedu ,1
17,Aravindanagar ,1
18,Atmakur(ATP) ,1
19,Avuladatla ,1
20,Avulanna ,1
21,Aydukallu ,1
22,Ayyagarlapalli ,1
23,Ayyavaripalli ,1
24,Ayyavaripalli ,1
25,B.N.Halli ,1
26,B.T.Project ,1
27,Bandameedapalli ,1
28,Bandlapalli ,1
29,Basapuram ,1
30,Basinepalli ,1
31,Bavarampalli ,1
32,Belguppa ,1
33,Belodu ,1
34,Bestharapalli ,1
35,Bethapalli ,1
36,Bhattuvanipalli ,1
37,Bhogasamudram ,1
38,Bhogasamudram Project ,1
39,Bhupasamudram ,1
40,Bhyrasamudram ,1
41,Bollanaguddem ,1
42,Bommaganipalli ,1
43,Bommakkapalli ,1
44,Bommanahal ,1
45,Bondaladinne ,1
46,Bondalawada ,1
47,Brahma Samudram ,1
48,Brahmanapalli ,1
49,Brahmanapalli ,1
50,Brahmasamudram ,1
51,Bramhanayaleru ,1
52,Budagavi ,1
53,Budimepalli ,1
54,Bukkacherla ,1
55,Bukkarayasamudram ,1
56,C Bandameedapalli ,1
57,Chabala ,1
58,Chadam ,1
59,Chalivemula ,1
60,Challavaripalli ,1
61,Chamaluru ,1
62,Chandana ,1
63,Chapiri ,1
64,Chayapuram ,1
65,Cheekalagurki ,1
66,Cheemalavagupalli ,1
67,Cheliminahalli ,1
68,Chennampalli ,1
69,Cherlopalli ,1
70,Cherlopalli ,1
71,Chikkepalli ,1
72,Chilamakuru ,1
73,Chinnampalli ,1
74,Chinnamusturu ,1
75,Chinnapolamada ,1
76,Chinnavadugur ,1
77,Chintakayamanda ,1
