index,city,state
1,ANANTHAPUR,Andhra Pradesh
2,Chittoor,Andhra Pradesh
3,Madanapalle,Andhra Pradesh
4,KADAPA,Andhra Pradesh
5,Ananthapur,Andhra Pradesh
6,Hindupur,Andhra Pradesh
7,Dharmavaram,Andhra Pradesh
8,ANANTAPUR,Andhra Pradesh
9,Kurnool,Andhra Pradesh
10,KURNOOL,Andhra Pradesh
11,PRAKASAM,Andhra Pradesh
12,Prakasam,Andhra Pradesh
13,CHITTOOR,Andhra Pradesh
14,West Godavari,Andhra Pradesh
15,WEST GODAVARI,Andhra Pradesh
16,Palakol,Andhra Pradesh
17,VIZIANAGARAM,Andhra Pradesh
18,KRISHNA,Andhra Pradesh
19,Krishna,Andhra Pradesh
20,NELLORE,Andhra Pradesh
21,Guntur,Andhra Pradesh
22,GUNTUR,Andhra Pradesh
23,Machilipatnam,Andhra Pradesh
24,Avanigadda,Andhra Pradesh
25,Nellore,Andhra Pradesh
26,Warangal,Andhra Pradesh
27,Kovvur,Andhra Pradesh
28,WEST GODAVARI,Arunachal Pradesh
29,Tadepalligudem,Andhra Pradesh
30,East Godavari,Andhra Pradesh
31,Bapatla,Andhra Pradesh
32,Karim Nagar,Andhra Pradesh
33,AMLAPURAM,Andhra Pradesh
34,VISAKHAPATNAM,Andhra Pradesh
35,Visakhapatnam,Andhra Pradesh
36,EAST GODAVARI,Andhra Pradesh
37,YANAM,Andhra Pradesh
38,SRIKAKULAM,Andhra Pradesh
39,VIZIANAGARAM,Telangana
40,Bhadrachalam,Andhra Pradesh
41,Srikalahasti,Andhra Pradesh
42,Bhongir,Andhra Pradesh
43,KARIMGANJ,Assam
44,HAILAKANDI,Assam
45,CACHAR,Assam
46,DIMA HASSO - NORTH CACHAR HILL,Assam
47,KARBI ANGLONG,Assam
48,UDALGURI,Assam
49,SONITPUR,Assam
50,DARRANG,Assam
51,BONGAIGAON,Assam
52,KOKRAJHAR,Assam
53,GOALPARA,Assam
54,DHUBRI,Assam
55,Dhubri,Assam
56,KAMRUP,Assam
57,KAMRUP METROPOLITAN,Assam
58,BAKSA,Assam
59,NALBARI,Assam
60,BARPETA,Assam
61,Barpeta,Assam
62,LAKHIMPUR,Assam
63,DIBRUGARH,Assam
64,DHEMAJI,Assam
65,Sonapur,Assam
66,MARIGAON,Assam
67,NAGAON,Assam
68,SIBSAGAR,Assam
